Carpeta principal ,Subcarpeta ,Nombre de imagen ,R_promedio ,G_promedio ,B_promedio ,Color_secundario_R ,Color_secundario_G ,Color_secundario_B ,Circularidad ,Relación de aspecto ,Brillo promedio ,Rugosidad LBP
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_103557.png ,108.48074137062233 ,69.66430461073318 ,38.445405013857396 ,135.6686640817743 ,95.5292121959822 ,54.60195629185588 ,0.1573574895093173 ,1.049645390070922 ,77.73515054169816 ,3.5251418098092517
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_104747.png ,88.7107346744597 ,54.3319457659372 ,29.998725703411715 ,110.83733525040883 ,71.4075245626639 ,37.914641744547886 ,0.24016131084931666 ,0.8412162162162162 ,61.84570816909066 ,3.5873636021688955
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_103907.png ,112.31396224835726 ,65.97727367848324 ,44.55786213535345 ,144.49915693905112 ,96.68800259403733 ,63.49889753567088 ,0.20783205925609505 ,0.6790540540540541 ,77.42047880132256 ,3.376296059546266
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_105513.png ,113.99468093526889 ,76.69568934129083 ,49.066519970238566 ,136.18363543960638 ,100.1941950420723 ,63.19843017674322 ,0.20925742899767436 ,1.053763440860215 ,84.72413683927243 ,3.1043510833018937
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_103636.png ,116.81427167470287 ,78.22602192807346 ,44.15050213445533 ,144.29778493074244 ,107.95256448264645 ,64.78099191054714 ,0.22581003292450605 ,1.0208333333333333 ,85.90573078222414 ,3.5962609804545114
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_105330.png ,104.44883888648492 ,64.07128227318621 ,30.797836434443962 ,94.29356155553982 ,53.58726634677251 ,27.781135859055375 ,0.3266319510364632 ,1.1464646464646464 ,72.38598009519689 ,3.7659214286599973
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_104522.png ,109.85092309064423 ,73.67039272229985 ,40.30841038142522 ,102.08106738726288 ,60.14527951359662 ,34.68461408545845 ,0.1958883809286456 ,0.9829931972789115 ,80.71061628563784 ,3.444413170862053
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_104804.png ,106.93307632999229 ,69.72991518889745 ,38.1993831919815 ,133.91564188024122 ,94.86990001148772 ,49.91943454775688 ,0.1749445763700026 ,0.7466216216216216 ,77.27686969930609 ,3.1610358549129196
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_104151.png ,108.68650340481327 ,69.85911263376052 ,44.084020640358666 ,96.35869838555854 ,55.03636272192356 ,34.653824875526226 ,0.27092414855837443 ,1.4874371859296482 ,78.5560419574504 ,3.479097107987732
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_105319.png ,105.24663605382314 ,62.628069950880786 ,35.158445464872564 ,129.1705045367145 ,81.76866235907656 ,40.05014434974046 ,0.18612927420853242 ,0.9124579124579124 ,72.26423577222765 ,3.734630802654814
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_104000.png ,125.20111692475733 ,79.49081267727216 ,52.94887514754329 ,155.38226655244262 ,112.86274629788974 ,77.39897197405018 ,0.19259774794758683 ,1.2510460251046025 ,90.1568451279883 ,3.5240867312606294
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_104623.png ,124.99597801725461 ,76.41340456234073 ,43.54184704184704 ,119.9309100718218 ,64.07178743635883 ,38.773004686920196 ,0.2408582492940023 ,0.9220338983050848 ,87.22635166252188 ,2.682555605968916
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_104931.png ,100.59597452229299 ,60.718420382165604 ,30.750488322717622 ,127.40841541385812 ,84.44746846379553 ,38.453948505268656 ,0.22760533998369345 ,1.1792828685258965 ,69.24025477707006 ,3.56255929202109
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_111442.png ,121.7989737219585 ,84.34161453943184 ,46.28388270263076 ,111.62688047046149 ,70.62352981399606 ,39.52834381837729 ,0.19186129884956654 ,1.0 ,91.25109799920145 ,3.329707925198523
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_111504.png ,90.11525664195112 ,55.01084331244616 ,30.672589389768103 ,79.79755126344227 ,46.03126046667193 ,25.23143909791098 ,0.1946860381394912 ,1.1706349206349207 ,62.74036853750401 ,2.816943196799352
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_104047.png ,124.17050317019084 ,79.4357372645782 ,52.66244495111972 ,149.57126983421708 ,106.35117116316525 ,69.50024445530529 ,0.23489954096400678 ,0.959731543624161 ,89.79243839210419 ,3.4260823870930164
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_105016.png ,97.36216178178108 ,57.65291509799092 ,35.536223215228176 ,83.70862443260991 ,46.294217485694375 ,30.631655812119398 ,0.20524788435951136 ,1.2032520325203253 ,67.01871855318251 ,3.402444400788119
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_104828.png ,93.79801671177133 ,56.70288208916895 ,27.912865693459494 ,120.5532510370288 ,75.81943125593237 ,33.838972462390565 ,0.2563071458256182 ,1.3125 ,64.53430258973194 ,3.578535083679387
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_111351.png ,117.71161438110246 ,73.4619433658798 ,45.36820301203841 ,133.85692990479257 ,88.57356777451172 ,51.43967882914798 ,0.30691642914559286 ,1.1505791505791505 ,83.51157539031404 ,3.1958927965551425
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_104528.png ,110.12321207343169 ,72.81679082264733 ,41.02567856740624 ,130.50438417996457 ,94.42624588403979 ,51.14625032372414 ,0.25357178075552944 ,0.9006849315068494 ,80.37153476099303 ,3.392146498707012
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_111601.png ,100.72522078984443 ,67.29630527320376 ,33.97215699937891 ,88.78438406965708 ,52.90998871332292 ,29.55691712350594 ,0.2443179437644005 ,0.9591836734693877 ,73.50196173480981 ,3.302180257421117
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_105449.png ,119.27993560707691 ,83.378182162529 ,49.487729044680485 ,136.9610523172771 ,101.32611219851877 ,58.46332481836407 ,0.22637358720412545 ,1.0766423357664234 ,90.27157084010669 ,3.4188740888286757
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_104132.png ,115.7373220504674 ,74.44994501130323 ,48.856784994195635 ,141.27903411266928 ,100.86367701546757 ,64.92721775052627 ,0.18768630766484606 ,1.088235294117647 ,83.9039378016741 ,3.4900920195201426
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_111421.png ,115.9204687311239 ,78.38889783755486 ,40.57127612451174 ,108.39468435657542 ,66.87270204648226 ,36.00251474159092 ,0.20527570107310228 ,1.339366515837104 ,85.32392381105787 ,3.4054172368416107
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_103625.png ,102.7685048867446 ,64.71967291626018 ,36.84108767759902 ,132.7769864626153 ,93.9269570335438 ,54.58681577398447 ,0.19177283057335073 ,1.2048192771084338 ,72.94442769214396 ,3.6621165242239955
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_104915.png ,116.69725272845461 ,74.82885148311608 ,37.11187519244586 ,138.34017300342066 ,96.53727620196769 ,44.277891772279276 ,0.24171930069450856 ,1.184 ,83.09032125628656 ,3.6021168542171416
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_103840.png ,121.56003064284783 ,75.41155952536185 ,49.60958077976268 ,159.15841350409596 ,118.123472820621 ,76.05128961814327 ,0.19401752488331264 ,1.1090225563909775 ,86.27708958143174 ,3.481699972221893
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_111554.png ,111.9124025194961 ,67.90704859028195 ,37.60242951409718 ,132.9458341738999 ,91.80789792212049 ,42.65770627395706 ,0.17814657829611863 ,1.010204081632653 ,77.61682663467306 ,3.4905756913995303
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_104654.png ,116.90744466800805 ,75.00396876672882 ,39.95080575194285 ,110.23724261414965 ,62.43871765358715 ,35.19205354478493 ,0.22053904302581626 ,0.8445945945945946 ,83.56897347387074 ,3.477545198140499
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_103508.png ,114.79110245470847 ,79.02011067829098 ,46.78614048104866 ,111.1396204422105 ,68.82173168688765 ,38.629257276074185 ,0.197718153653995 ,0.9594594594594594 ,86.0714616954183 ,3.84492398334293
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_105502.png ,118.91238081608557 ,81.05876460170659 ,49.34223001377435 ,136.79856395848418 ,99.24553188168095 ,59.25169749473098 ,0.24904849842963916 ,0.7972972972972973 ,88.79061197474105 ,3.644565261134835
Imagenes procesadas 300 x 300 ,43 ,IMG_20240914_105303.png ,91.00317984361425 ,51.53923544743701 ,28.071016507384883 ,113.56927904427083 ,66.11852103890715 ,31.24777891195182 ,0.23952569447127395 ,0.8445945945945946 ,60.67682015638575 ,3.789577888610287
